Team(s),Name,Capacity,Location,Roof Type,Surface,Opened,Conference,Division 
Arizona Cardinals,State Farm Stadium,"63,400","Glendale, Arizona",Retractable,Bermuda grass,2006,National Football Conference,NFC West
Atlanta Falcons,Mercedes-Benz Stadium,"71,000","Atlanta, Georgia",Retractable,FieldTurf Revolution 360 ,2017,National Football Conference,NFC  South
Baltimore Ravens,M&T Bank Stadium,"71,008","Baltimore, Maryland",Open,Bermuda grass ,1998,American Football Conference,AFC North
Buffalo Bills,Highmark Stadium,"71,608","Orchard Park, New York",Open,A-Turf Titan 50 ,1973,American Football Conference,AFC East
Carolina Panthers,Bank of America Stadium,"75,523","Charlotte, North Carolina",Open,FieldTurf,1996,National Football Conference,NFC  South
Chicago Bears,Soldier Field,"61,500","Chicago, Illinois",Open,Bermuda grass ,1924,National Football Conference,NFC  North
Cincinnati Bengals,Paycor Stadium,"65,515","Cincinnati, Ohio",Open,UBU Speed Series S5-M Synthetic Turf,2000,American Football Conference,AFC North
Cleveland Browns,FirstEnergy Stadium,"67,895","Cleveland, Ohio",Open,Kentucky bluegrass,1999,American Football Conference,AFC North
Dallas Cowboys,AT&T Stadium,"80,000","Arlington, Texas",Retractable,Hellas Matrix Turf,2009,National Football Conference,NFC East
Denver Broncos,Empower Field at Mile High,"76,125","Denver, Colorado",Open,Kentucky bluegrass,2001,American Football Conference,AFC West
Detroit Lions,Ford Field,"65,000","Detroit, Michigan",Fixed,FieldTurf Classic HD ,2002,National Football Conference,NFC  North
Green Bay Packers,Lambeau Field,"81,441","Green Bay, Wisconsin",Open,Kentucky bluegrass reinforced with SIS Grass ,1957,National Football Conference,NFC  North
Houston Texans,NRG Stadium,"72,220","Houston, Texas",Retractable,Hellas Matrix Turf ,2002,American Football Conference,AFC South
Indianapolis Colts,Lucas Oil Stadium,"67,000","Indianapolis, Indiana",Retractable,Shaw Sports Momentum Pro,2008,American Football Conference,AFC South
Jacksonville Jaguars,TIAA Bank Field,"69,132","Jacksonville, Florida",Open,Bermuda grass,1995,American Football Conference,AFC South
Kansas City Chiefs,Arrowhead Stadium,"76,416","Kansas City, Missouri",Open,Bermuda grass,1972,American Football Conference,AFC West
Las Vegas Raiders,Allegiant Stadium,"65,000","Paradise, Nevada",Fixed,Bermuda grass,2020,American Football Conference,AFC West
Los Angeles Chargers,SoFi Stadium,"70,000","Inglewood, California",Fixed,Hellas Matrix Turf,2020,American Football Conference,AFC West
Los Angeles Rams,SoFi Stadium,"70,000","Inglewood, California",Fixed,Hellas Matrix Turf,2020,National Football Conference,NFC West
Miami Dolphins,Hard Rock Stadium,"65,326","Miami Gardens, Florida",Open,Bermuda grass,1987,American Football Conference,AFC East
Minnesota Vikings,U.S. Bank Stadium,"66,655","Minneapolis, Minnesota",Fixed,UBU Speed Series S5-M Synthetic Turf ,2016,National Football Conference,NFC  North
New England Patriots,Gillette Stadium,"66,829","Foxborough, Massachusetts",Open,FieldTurf CORE ,2002,American Football Conference,AFC East
New Orleans Saints,Caesars Superdome,"73,208","New Orleans, Louisiana",Fixed,FieldTurf Revolution 360 ,1975,National Football Conference,NFC  South
New York Giants,MetLife Stadium,82500,"East Rutherford, New Jersey",Open,UBU Speed Series S5-M Synthetic Turf,2010,National Football Conference,NFC East
New York Jets,MetLife Stadium,82500,"East Rutherford, New Jersey",Open,UBU Speed Series S5-M Synthetic Turf,2010,American Football Conference,AFC East
Philadelphia Eagles,Lincoln Financial Field,"69,596","Philadelphia, Pennsylvania",Open,Desso GrassMaster ,2003,National Football Conference,NFC East
Pittsburgh Steelers,Acrisure Stadium,"68,400","Pittsburgh, Pennsylvania",Open,Kentucky bluegrass,2001,American Football Conference,AFC North
San Francisco 49ers,Levi's Stadium,"68,500","Santa Clara, California",Open,Bermuda grass / Perennial Ryegrass mixture,2014,National Football Conference,NFC West
Seattle Seahawks,Lumen Field,"69,000","Seattle, Washington",Open,FieldTurf Revolution 360 ,2002,National Football Conference,NFC West
Tampa Bay Buccaneers,Raymond James Stadium,"65,890","Tampa, Florida",Open,Bermuda grass,1998,National Football Conference,NFC  South
Tennessee Titans,Nissan Stadium,"69,143","Nashville, Tennessee",Open,Bermuda grass,1999,American Football Conference,AFC South
Washington Commanders,FedExField,"67,717","Landover, Maryland",Open,Bermuda grass,1997,National Football Conference,NFC East
Expansion,,,,,,,,
San Diego Sailors,Qualcomm Stadium,"71,500","San Diego, California",Open,Bermuda grass,2023,American Football Conference,AFC West
